# Telegraph Media Group [2019-10-30] - Web version - ads.txt - programmatic@telegraph.co.uk
# 33 Across
33across.com, 0010b00001rsz57AAA, DIRECT, bbea06d9c4d2853c
openx.com, 537148114, RESELLER, 6a698e2ec38604c6
openx.com, 113215, RESELLER, 6a698e2ec38604c6
# Outbrain
tremorhub.com, q017o-78mlk, RESELLER, 1a4e959a1b50034a
teads.tv, 15429, RESELLER, 15a9c44f6d26cbe1
advertising.com, 26154, RESELLER, 
spotxchange.com, 225721, RESELLER, 
Freewheel.tv, 741650, RESELLER, 
rubiconproject.com, 17130, RESELLER, 0bfd66d529a55807
lkqd.net, 450, RESELLER, 59c49fa9598a0117
openx.com, 540393169, RESELLER, 6a698e2ec38604c6
spotx.tv, 238936, RESELLER, 7842df1d2fe2db34
spotxchange.com, 238936, RESELLER, 7842df1d2fe2db34
advertising.com, 28038, RESELLER, 
rubiconproject.com, 19668, RESELLER, 0bfd66d529a55807
# Pubmatic
pubmatic.com, 157010, DIRECT, 5d62403b186f2ace
pubmatic.com, 156440, DIRECT, 5d62403b186f2ace
# RhythmOne
rhythmone.com, 2064294999, DIRECT, a670c89d4a324e47
# Rubicon Project
rubiconproject.com, 20692, DIRECT, 0bfd66d529a55807
rubiconproject.com, 8560, DIRECT, 0bfd66d529a55807
# Sharethrough
sharethrough.com, a56740ba, DIRECT, d53b998a7bd4ecd2
indexexchange.com, 186046, RESELLER, 50b1c356f2c5c8fc
openx.com, 540274407, RESELLER, 6a698e2ec38604c6
pubmatic.com, 156557, RESELLER, 5d62403b186f2ace
rubiconproject.com, 18694, RESELLER, 0bfd66d529a55807
spotxchange.com, 212457, RESELLER, 7842df1d2fe2db34
spotx.tv, 212457, RESELLER, 7842df1d2fe2db34
# SpotX
spotxchange.com, 148104, DIRECT, 7842df1d2fe2db34
spotx.tv, 148104, DIRECT, 7842df1d2fe2db34
# Sovrn
sovrn.com, 250494, DIRECT, fafdf38b16bf6b2b
lijit.com, 250494, DIRECT, fafdf38b16bf6b2b
appnexus.com, 1360, RESELLER, f5ab79cb980f11d1
gumgum.com, 11645, RESELLER, ffdef49475d318a9
openx.com, 538959099, RESELLER, 6a698e2ec38604c6
openx.com, 539924617, RESELLER, 6a698e2ec38604c6
pubmatic.com, 137711, RESELLER, 5d62403b186f2ace
pubmatic.com, 156212, RESELLER, 5d62403b186f2ace
pubmatic.com, 156700, RESELLER, 5d62403b186f2ace
rubiconproject.com, 17960, RESELLER, 0bfd66d529a55807
# Sublime Skins
smartadserver.com, 1827, RESELLER, 
improvedigital.com, 335, RESELLER, 
appnexus.com, 3538, RESELLER, f5ab79cb980f11d1
appnexus.com, 3539, RESELLER, f5ab79cb980f11d1
appnexus.com, 3540, RESELLER, f5ab79cb980f11d1
freewheel.tv, 138193, RESELLER, 
# Teads
teads.tv, 976, DIRECT, 15a9c44f6d26cbe1
# TripleLift
triplelift.com, 3256-EB, DIRECT, 6c33edb13117fd86
triplelift.com, 3256, DIRECT, 
appnexus.com, 1314, RESELLER, f5ab79cb980f11d1
# Verified Marketplace (Unruly)
video.unrulymedia.com, UNRX_58f5cdbb-0103-4f3a-8bf0-829c18671214, DIRECT, 
video.unrulymedia.com, UNRX_50c64ad4-7725-4b7c-be33-a3751ced67a9, DIRECT, 
video.unrulymedia.com, UNRX_a2e8071d-981d-442f-b601-00db6069ac96, DIRECT, 
video.unrulymedia.com, UNRX_f0af57fc-0c1b-4c5a-92cf-161cb3910ca9, DIRECT, 
video.unrulymedia.com, UNRX_17f4a9f7-f164-4538-898e-2072192077e0, DIRECT, 
video.unrulymedia.com, UNRX_5910b947-010e-4a22-8edc-20a0a80d0420, DIRECT, 
# inactive
rubiconproject.com, 15268, RESELLER, 0bfd66d529a55807
indexexchange.com, 182257, RESELLER, 50b1c356f2c5c8fc
appnexus.com, 6849, RESELLER, f5ab79cb980f11d1
# Other
